UserID,Age,Gender,SubscriptionType,WatchHoursPerWeek,DevicesUsed,FavoriteGenre,AdClicks,MonthlySpend,SubscriptionRenewed
118,20,Male,VIP,38,3,Action,27,925,Yes
119,51,Female,Basic,10,4,Thriller,4,218,No
120,34,Female,VIP,26,1,Drama,27,973,No
121,38,Female,VIP,3,5,Action,7,847,Yes
122,65,Male,Premium,7,1,Sci-Fi,5,553,Yes
123,20,Female,Basic,19,3,Drama,13,236,Yes
124,51,Female,VIP,12,2,Comedy,2,895,Yes
125,49,Male,Basic,30,3,Sci-Fi,8,369,Yes
126,47,Female,VIP,35,2,Action,14,876,No
127,58,Female,VIP,17,4,Drama,6,896,No
128,24,Male,Premium,37,3,Romance,9,551,Yes
129,60,Female,Premium,1,5,Thriller,24,425,No
130,36,Male,VIP,23,2,Thriller,6,828,Yes
131,58,Male,VIP,3,3,Sci-Fi,1,996,No
132,64,Male,Basic,19,3,Thriller,13,243,Yes
133,26,Female,VIP,33,3,Comedy,8,946,No
134,65,Female,Basic,30,1,Comedy,24,256,No
135,53,Female,Basic,26,1,Drama,17,230,No
136,41,Female,VIP,25,3,Action,21,819,No
137,19,Female,VIP,15,1,Thriller,26,937,No
138,59,Female,Basic,9,1,Action,9,325,Yes
139,24,Male,VIP,9,4,Sci-Fi,11,976,No
140,55,Male,Premium,7,4,Romance,13,543,Yes
141,62,Female,Basic,29,4,Comedy,27,291,Yes
142,61,Female,VIP,23,1,Sci-Fi,8,797,Yes
143,47,Male,VIP,14,5,Action,1,870,Yes
144,26,Male,Basic,36,2,Romance,6,258,No
145,27,Male,Premium,10,2,Romance,8,489,Yes
146,60,Male,Basic,1,3,Comedy,18,281,Yes
147,29,Female,Basic,9,4,Romance,3,389,Yes
148,48,Female,Premium,33,5,Action,14,657,Yes
149,57,Male,VIP,34,3,Sci-Fi,20,715,Yes
150,48,Female,Premium,7,4,Thriller,29,627,Yes
151,23,Female,VIP,10,1,Comedy,8,999,No
152,42,Female,Premium,33,5,Sci-Fi,3,458,Yes
153,45,Female,Basic,27,3,Sci-Fi,12,305,Yes
154,38,Female,Premium,17,3,Comedy,21,642,Yes
155,23,Male,Basic,28,1,Thriller,23,294,Yes
156,53,Male,VIP,36,5,Drama,21,762,No
157,40,Female,VIP,4,3,Romance,9,880,Yes
158,54,Male,Basic,31,2,Action,11,341,No
159,25,Female,VIP,15,4,Romance,24,985,Yes
160,56,Female,Basic,12,3,Thriller,24,278,No
161,40,Male,Basic,10,5,Thriller,12,216,Yes
162,65,Male,Basic,34,2,Sci-Fi,13,315,No
163,28,Female,Premium,21,5,Romance,2,426,Yes
164,28,Male,VIP,6,3,Sci-Fi,21,917,No
165,56,Female,Premium,18,2,Romance,3,576,No
166,25,Female,VIP,38,4,Romance,21,857,Yes
167,32,Female,VIP,4,1,Comedy,9,808,Yes
168,34,Female,Premium,8,1,Sci-Fi,23,620,Yes
169,26,Female,VIP,15,5,Romance,26,881,Yes
170,43,Male,Premium,2,4,Action,27,560,No
171,54,Female,VIP,27,3,Action,12,710,No
172,28,Female,VIP,24,1,Sci-Fi,27,754,Yes
173,45,Female,VIP,6,4,Drama,23,873,Yes
174,39,Male,Basic,33,1,Romance,16,248,No
175,40,Male,Basic,7,2,Drama,6,243,Yes
176,59,Male,Basic,32,4,Romance,24,347,No
177,61,Female,VIP,21,2,Sci-Fi,2,940,No
178,58,Female,Premium,38,1,Drama,16,437,No
179,47,Female,Basic,4,3,Drama,2,364,Yes
180,57,Female,Premium,38,5,Thriller,28,421,No
181,54,Male,Premium,39,4,Romance,4,431,No
182,24,Female,VIP,6,5,Thriller,5,720,Yes
183,63,Female,Premium,34,5,Romance,5,586,No
184,36,Female,Premium,22,5,Action,25,571,Yes
185,39,Male,VIP,25,3,Drama,23,776,No
186,23,Male,Premium,20,4,Comedy,19,443,No
187,53,Female,VIP,22,2,Thriller,22,969,Yes
188,59,Female,VIP,24,1,Drama,9,792,Yes
189,39,Female,Basic,15,2,Comedy,2,274,Yes
190,50,Male,VIP,22,5,Comedy,19,892,Yes
191,28,Male,VIP,40,2,Thriller,14,722,No
192,41,Male,Premium,40,3,Thriller,25,629,Yes
193,52,Male,Premium,31,2,Drama,21,692,No
194,47,Female,Premium,33,5,Sci-Fi,30,482,Yes
195,56,Male,Premium,4,4,Drama,17,452,Yes
196,36,Male,Basic,18,4,Romance,4,310,Yes
197,32,Female,Premium,2,4,Action,12,657,No
198,33,Female,Basic,24,2,Action,10,224,No
199,27,Male,Basic,19,4,Thriller,26,234,No
200,46,Male,Basic,2,3,Comedy,26,237,No
201,25,Female,Basic,20,1,Action,7,306,No
202,22,Male,Premium,39,5,Action,20,663,Yes
203,63,Male,Premium,28,1,Romance,11,523,No
204,29,Male,VIP,24,1,Romance,17,959,Yes
205,42,Female,Basic,25,3,Drama,23,203,No
206,22,Female,Basic,7,5,Thriller,24,284,Yes
207,20,Female,VIP,22,2,Thriller,14,945,Yes
208,26,Male,VIP,30,1,Drama,6,722,Yes
209,20,Female,Premium,33,4,Romance,15,529,Yes
210,59,Male,Premium,23,1,Thriller,10,539,Yes
211,41,Female,Premium,29,4,Drama,5,654,No
212,41,Female,Basic,28,1,Sci-Fi,19,245,No
213,38,Male,Basic,21,3,Drama,14,353,No
214,28,Female,Premium,29,1,Thriller,27,580,No
215,35,Male,Basic,26,3,Romance,25,390,Yes
216,19,Male,VIP,29,1,Comedy,2,820,No
217,41,Female,VIP,3,5,Comedy,21,930,No
218,41,Female,Basic,37,2,Romance,11,300,No
219,59,Female,Basic,8,1,Thriller,5,326,No
220,53,Male,Premium,17,4,Comedy,19,546,No
221,30,Male,Basic,5,4,Comedy,28,381,No
222,23,Female,VIP,23,1,Romance,17,848,No
223,28,Male,Premium,33,2,Action,6,471,Yes
224,49,Male,Premium,36,5,Drama,14,682,Yes
225,57,Male,Basic,20,4,Thriller,23,321,No
226,44,Male,Basic,21,1,Sci-Fi,14,373,No
227,26,Male,Basic,28,5,Action,26,230,Yes
228,37,Male,Basic,21,2,Drama,30,331,No
229,23,Female,Basic,36,3,Comedy,20,276,Yes
230,50,Male,VIP,38,2,Comedy,21,872,Yes
231,19,Male,Basic,37,3,Thriller,6,395,No
232,57,Male,Premium,35,3,Thriller,30,554,No
233,33,Female,Premium,30,1,Thriller,1,480,No
234,44,Female,Premium,14,3,Romance,4,560,No
235,64,Female,Premium,9,3,Romance,17,454,No
236,33,Female,Basic,18,4,Comedy,4,223,Yes
237,36,Female,VIP,27,2,Comedy,26,867,No
238,30,Male,Premium,33,4,Sci-Fi,28,557,No
239,19,Male,Premium,33,4,Comedy,6,698,No
240,21,Male,Premium,32,5,Thriller,21,640,No
241,52,Male,Basic,28,2,Drama,23,292,No
242,41,Male,Premium,4,5,Romance,6,585,No
243,22,Female,VIP,29,5,Drama,26,760,Yes
244,24,Female,Premium,22,5,Drama,24,473,Yes
245,56,Female,VIP,3,1,Action,4,870,No
246,51,Female,Basic,39,5,Comedy,10,355,No
247,28,Female,VIP,20,5,Drama,16,960,No
248,63,Female,Premium,2,3,Drama,21,456,No
249,55,Female,VIP,2,5,Sci-Fi,8,996,Yes
250,64,Male,VIP,31,2,Romance,20,894,Yes
251,61,Male,Basic,37,1,Comedy,0,311,No
252,44,Male,Premium,14,4,Romance,24,641,Yes
253,63,Male,VIP,14,5,Drama,21,944,No
254,38,Male,Premium,35,3,Romance,11,535,No
255,30,Male,Premium,36,3,Comedy,30,552,No
256,63,Male,VIP,32,3,Sci-Fi,11,986,No
257,36,Male,VIP,35,4,Sci-Fi,26,876,Yes
258,36,Male,Premium,6,3,Sci-Fi,20,531,No
259,31,Male,VIP,18,5,Thriller,8,770,Yes
260,57,Male,Basic,4,5,Comedy,20,258,Yes
261,24,Female,Premium,31,1,Thriller,24,470,Yes
262,53,Male,Premium,31,4,Thriller,6,547,No
263,36,Male,Basic,37,2,Romance,23,384,Yes
264,29,Female,Basic,3,4,Sci-Fi,5,390,No
265,20,Male,Premium,37,5,Action,29,571,No
266,47,Female,Basic,33,4,Drama,6,227,No
267,28,Female,VIP,17,2,Action,23,872,No
268,54,Male,Basic,40,4,Sci-Fi,16,282,Yes
269,43,Male,Basic,9,4,Drama,29,262,Yes
270,34,Female,Basic,29,3,Drama,9,348,Yes
271,34,Female,VIP,16,1,Thriller,3,938,No
272,28,Female,VIP,33,3,Thriller,3,851,No
273,57,Male,Basic,9,4,Comedy,14,390,No
274,44,Female,VIP,14,2,Thriller,24,741,No
275,51,Female,Basic,37,1,Action,26,339,Yes
276,54,Male,Basic,21,5,Sci-Fi,3,373,Yes
277,63,Female,Basic,33,4,Action,14,232,No
278,47,Male,VIP,30,3,Thriller,0,902,No
279,18,Male,VIP,5,1,Sci-Fi,11,732,Yes
280,22,Female,Basic,19,4,Comedy,24,233,No
281,41,Female,Premium,25,4,Action,21,676,Yes
282,59,Female,Basic,12,5,Sci-Fi,16,231,Yes
283,18,Male,Premium,30,5,Sci-Fi,17,594,Yes
284,33,Female,Premium,10,3,Comedy,29,457,Yes
285,60,Female,VIP,2,2,Comedy,2,751,Yes
286,46,Male,Basic,3,4,Sci-Fi,7,337,Yes
287,21,Male,VIP,19,2,Thriller,18,863,No
288,33,Female,Basic,34,2,Sci-Fi,9,269,Yes
289,53,Male,VIP,28,5,Sci-Fi,1,876,No
290,51,Female,VIP,27,4,Comedy,9,892,Yes
291,52,Female,Basic,15,3,Thriller,4,317,Yes
292,53,Female,Premium,36,5,Comedy,12,524,No
293,31,Female,VIP,6,4,Drama,2,974,Yes
294,21,Female,Premium,39,5,Action,27,437,Yes
295,55,Male,Premium,14,3,Drama,30,407,Yes
296,30,Male,VIP,31,2,Thriller,19,804,No
297,33,Female,Premium,25,4,Romance,20,583,No
298,34,Female,VIP,32,4,Action,25,940,No
299,31,Female,Premium,27,1,Romance,27,513,Yes
300,19,Female,VIP,38,5,Thriller,13,851,Yes
301,30,Female,Basic,25,5,Comedy,15,339,No
302,34,Female,VIP,32,4,Comedy,23,880,Yes
303,26,Female,Basic,35,1,Romance,1,218,Yes
304,18,Female,Basic,15,1,Thriller,4,201,Yes
305,50,Female,Premium,4,5,Thriller,21,647,No
306,19,Male,VIP,36,4,Action,0,971,No
307,52,Female,Basic,33,4,Comedy,3,223,Yes
308,33,Male,VIP,34,3,Drama,8,903,Yes
309,41,Female,Premium,37,2,Thriller,7,553,Yes
310,59,Male,Basic,26,4,Sci-Fi,17,320,Yes
311,58,Male,VIP,11,1,Sci-Fi,27,922,No
312,54,Male,VIP,3,2,Comedy,28,990,No
313,35,Male,Basic,18,5,Romance,21,207,Yes
314,38,Male,Basic,38,2,Thriller,26,300,Yes
315,37,Male,VIP,16,5,Sci-Fi,21,976,No
316,42,Male,VIP,6,5,Thriller,11,727,Yes
317,45,Male,Basic,22,5,Romance,30,351,No
318,38,Male,VIP,18,4,Sci-Fi,7,882,No
319,45,Male,VIP,38,4,Action,24,851,Yes
320,63,Male,Basic,18,2,Sci-Fi,22,399,Yes
321,65,Female,Premium,24,1,Action,0,557,No
322,41,Female,Basic,9,1,Comedy,13,313,No
323,24,Male,Basic,23,5,Action,19,352,No
324,42,Male,Premium,27,4,Action,23,686,Yes
325,54,Male,VIP,25,2,Comedy,8,854,No
326,49,Male,Basic,11,4,Drama,13,275,No
327,22,Female,Premium,16,4,Romance,19,500,No
328,24,Male,Premium,1,4,Drama,26,594,No
329,46,Female,Premium,39,2,Drama,10,502,No
330,38,Male,Premium,21,3,Thriller,22,651,Yes
331,38,Female,Premium,26,3,Action,29,688,Yes
332,55,Male,VIP,36,1,Thriller,14,807,No
333,36,Male,Premium,32,2,Thriller,9,523,No
334,60,Male,VIP,28,4,Action,14,945,No
335,52,Female,VIP,3,3,Thriller,28,974,Yes
336,24,Male,VIP,23,2,Thriller,19,722,No
337,39,Female,Basic,1,1,Drama,7,329,Yes
338,46,Female,Premium,30,5,Thriller,16,477,No
339,19,Female,Basic,19,4,Action,3,385,Yes
340,40,Female,Premium,30,2,Romance,15,578,No
341,24,Female,VIP,29,3,Action,9,722,Yes
342,19,Female,VIP,7,2,Thriller,7,964,Yes
343,53,Male,Premium,36,4,Sci-Fi,7,607,Yes
344,29,Female,Premium,2,5,Comedy,14,619,No
345,18,Male,Basic,18,1,Romance,3,336,Yes
346,41,Female,Basic,30,1,Drama,21,324,No
347,56,Female,VIP,26,5,Action,11,880,No
348,57,Male,VIP,20,5,Romance,2,768,No
349,25,Male,Premium,8,2,Drama,22,472,No
350,44,Male,VIP,25,4,Comedy,15,975,Yes
351,53,Male,Premium,19,2,Comedy,10,630,Yes
352,40,Male,Premium,9,2,Sci-Fi,30,687,No
353,44,Female,Premium,29,4,Comedy,2,689,Yes
354,32,Female,Basic,18,2,Romance,9,242,No
355,54,Female,VIP,33,1,Romance,3,837,No
356,52,Male,VIP,29,5,Comedy,13,752,Yes
357,37,Male,Premium,17,3,Action,14,460,Yes
358,31,Female,VIP,40,4,Comedy,19,771,Yes
359,31,Male,VIP,23,5,Drama,19,975,Yes
360,38,Female,Premium,37,3,Romance,28,448,Yes
361,44,Male,Premium,9,2,Comedy,4,564,Yes
362,61,Female,Premium,10,5,Thriller,8,612,No
363,46,Male,VIP,6,4,Romance,23,842,No
364,47,Female,Premium,38,1,Thriller,2,634,No
365,22,Female,Basic,28,2,Sci-Fi,8,281,No
366,39,Male,VIP,32,3,Thriller,24,724,Yes
367,24,Female,Basic,8,2,Sci-Fi,14,199,No
368,30,Male,VIP,20,2,Drama,2,884,No
369,23,Female,VIP,11,1,Sci-Fi,20,856,Yes
370,45,Male,VIP,7,1,Comedy,15,739,Yes
371,55,Male,VIP,29,1,Action,22,875,Yes
372,45,Male,Premium,5,2,Sci-Fi,2,452,Yes
373,38,Female,Premium,9,4,Comedy,20,473,Yes
374,51,Male,VIP,11,4,Drama,23,809,Yes
375,44,Female,Basic,6,1,Comedy,24,230,No
376,40,Female,Premium,9,2,Drama,20,443,Yes
377,53,Female,VIP,2,3,Comedy,16,960,Yes
378,65,Female,Premium,4,2,Sci-Fi,12,457,Yes
379,49,Male,VIP,1,3,Drama,4,898,No
380,41,Male,Premium,5,1,Romance,2,407,No
381,31,Male,Basic,26,5,Drama,20,381,No
382,45,Female,Basic,35,5,Romance,4,270,Yes
383,37,Male,VIP,14,2,Romance,10,900,Yes
384,37,Female,VIP,16,1,Comedy,2,922,Yes
385,47,Male,Premium,12,1,Action,22,470,Yes
386,28,Female,Premium,34,5,Thriller,8,485,No
387,26,Female,VIP,8,1,Drama,25,919,No
388,51,Male,Premium,37,1,Sci-Fi,14,661,No
389,21,Female,VIP,11,3,Comedy,8,752,Yes
390,32,Male,Basic,1,2,Action,15,292,No
391,27,Male,Basic,36,4,Comedy,10,262,No
392,64,Female,Premium,5,5,Drama,3,657,Yes
393,29,Male,VIP,3,4,Action,28,938,No
394,37,Female,Basic,36,4,Action,11,250,No
395,54,Female,VIP,40,2,Sci-Fi,11,952,Yes
396,64,Male,Basic,1,4,Action,7,337,No
397,58,Male,Premium,1,4,Thriller,23,557,Yes
398,31,Male,Premium,32,1,Comedy,22,543,Yes
399,20,Male,VIP,27,3,Sci-Fi,23,743,Yes
400,50,Male,VIP,26,1,Romance,18,731,No
401,60,Male,Basic,19,3,Drama,29,299,No
402,38,Female,Premium,15,1,Comedy,4,699,Yes
403,27,Male,Basic,29,4,Drama,13,229,No
404,31,Female,Premium,30,3,Action,2,480,No
405,63,Male,Basic,21,2,Action,22,262,No
406,43,Male,VIP,20,3,Comedy,0,907,No
407,53,Male,Basic,30,1,Comedy,3,202,Yes
408,32,Male,Basic,26,3,Thriller,20,364,Yes
409,55,Female,Basic,2,1,Comedy,28,364,No
410,26,Male,Premium,8,1,Sci-Fi,1,486,No
411,64,Female,Premium,2,4,Thriller,13,488,No
412,31,Male,Premium,18,4,Comedy,1,525,No
413,49,Female,VIP,31,1,Action,8,896,Yes
414,44,Male,VIP,34,2,Thriller,25,978,Yes
415,42,Female,Premium,35,4,Drama,29,689,No
416,42,Female,Basic,2,3,Romance,7,206,No
417,21,Female,VIP,23,5,Comedy,5,751,Yes
418,60,Male,Premium,35,1,Comedy,18,598,No
419,29,Male,Basic,38,3,Thriller,22,290,Yes
420,63,Female,VIP,37,2,Romance,30,796,No
421,52,Female,Basic,32,1,Action,1,258,Yes
422,19,Female,Basic,22,5,Comedy,25,232,No
423,63,Male,Premium,4,1,Comedy,18,472,Yes
424,51,Female,Basic,24,4,Romance,3,285,No
425,38,Male,Basic,28,4,Thriller,10,243,No
426,32,Male,Premium,20,3,Comedy,5,400,No
427,54,Male,Basic,39,3,Romance,7,362,Yes
428,49,Male,Premium,5,2,Drama,10,485,Yes
429,63,Female,Premium,1,3,Comedy,7,434,No
430,34,Male,VIP,1,1,Sci-Fi,14,914,Yes
431,44,Female,Premium,23,5,Sci-Fi,3,645,Yes
432,28,Female,Basic,3,3,Action,10,265,Yes
433,22,Female,Basic,25,2,Thriller,2,339,Yes
434,39,Female,VIP,2,4,Thriller,5,922,Yes
435,21,Male,Premium,14,2,Sci-Fi,22,683,No
436,60,Female,Premium,16,1,Action,12,692,No
437,27,Male,Premium,1,4,Action,9,645,Yes
438,24,Male,Basic,11,3,Action,15,228,No
439,43,Female,Premium,17,1,Thriller,17,598,Yes
440,41,Female,Premium,12,4,Action,8,625,No
441,34,Male,Premium,37,1,Comedy,24,449,Yes
442,60,Female,VIP,27,5,Comedy,17,731,No
443,51,Female,VIP,31,5,Comedy,15,853,Yes
444,43,Male,VIP,37,5,Romance,21,775,Yes
445,46,Male,Basic,14,2,Comedy,1,307,Yes
446,61,Female,Basic,10,5,Drama,10,385,Yes
447,23,Female,VIP,26,5,Drama,27,841,No
448,18,Female,Basic,27,2,Comedy,18,349,Yes
449,24,Male,Premium,35,3,Sci-Fi,8,596,No
450,54,Female,Basic,12,3,Sci-Fi,4,357,No
451,20,Female,Premium,16,1,Thriller,15,537,No
452,19,Female,Premium,20,3,Sci-Fi,27,450,Yes
453,26,Female,VIP,29,3,Drama,23,913,Yes
454,30,Female,Basic,27,4,Romance,27,294,Yes
455,50,Male,Basic,20,5,Sci-Fi,4,398,Yes
456,29,Male,Basic,4,2,Action,14,211,No
457,63,Male,Premium,24,4,Romance,12,463,Yes
458,33,Female,Premium,39,4,Comedy,30,642,No
459,40,Male,Premium,6,3,Action,12,425,Yes
460,54,Male,Basic,15,2,Drama,20,303,Yes
461,61,Male,Premium,9,2,Romance,25,404,Yes
462,34,Female,VIP,18,4,Sci-Fi,27,878,No
463,34,Male,Premium,20,5,Romance,12,699,Yes
464,18,Female,VIP,39,5,Drama,9,755,No
465,22,Female,Premium,21,3,Drama,20,552,Yes
466,27,Male,Basic,39,4,Thriller,10,373,Yes
467,64,Male,VIP,32,3,Drama,29,914,No
468,42,Male,VIP,37,2,Drama,23,813,No
469,60,Female,VIP,20,2,Thriller,28,985,Yes
470,36,Male,Premium,9,3,Thriller,25,686,Yes
471,61,Female,VIP,6,2,Drama,7,857,No
472,39,Female,Premium,38,3,Sci-Fi,27,460,No
473,21,Male,Premium,13,5,Action,27,595,No
474,44,Male,Basic,9,2,Drama,13,344,No
475,27,Female,VIP,12,1,Sci-Fi,10,790,No
476,58,Male,Basic,29,3,Comedy,24,397,Yes
477,54,Male,Premium,6,2,Romance,13,619,No
478,45,Female,Premium,1,1,Romance,6,591,Yes
479,38,Male,Basic,1,2,Comedy,22,287,No
480,26,Male,Premium,33,5,Drama,5,433,Yes
481,37,Female,Premium,34,5,Romance,10,622,Yes
482,39,Female,Premium,13,2,Sci-Fi,0,516,Yes
483,64,Male,Basic,2,5,Romance,5,230,No
484,63,Male,Premium,17,5,Romance,1,424,Yes
485,59,Male,Basic,8,4,Sci-Fi,12,230,No
486,48,Male,Basic,1,3,Sci-Fi,21,224,No
487,57,Male,Premium,7,5,Thriller,19,460,No
488,25,Male,Premium,13,5,Comedy,24,534,Yes
489,40,Female,Premium,11,1,Romance,15,506,No
490,39,Male,Basic,1,1,Action,26,345,No
491,27,Male,VIP,5,1,Drama,20,818,No
492,36,Female,Premium,4,1,Comedy,27,420,No
493,41,Female,Premium,8,1,Action,0,470,Yes
494,39,Female,Premium,40,3,Thriller,2,590,No
495,29,Male,Premium,26,4,Drama,26,597,No
496,44,Male,Basic,9,1,Comedy,3,305,No
497,54,Female,Basic,40,4,Drama,19,206,Yes
498,48,Female,Basic,27,4,Action,2,265,No
499,18,Male,VIP,22,5,Romance,22,748,No
500,60,Male,Premium,23,4,Comedy,26,685,Yes
501,18,Male,VIP,31,4,Comedy,2,951,No
502,33,Female,Premium,4,5,Comedy,17,593,No
503,33,Male,Premium,29,5,Sci-Fi,2,655,No
504,38,Male,Premium,2,1,Sci-Fi,13,418,Yes
505,23,Female,VIP,36,2,Thriller,21,933,No
506,41,Male,Basic,30,3,Romance,24,357,No
507,63,Female,VIP,29,1,Action,24,813,Yes
508,39,Female,VIP,19,5,Romance,11,754,Yes
509,28,Female,Basic,27,1,Drama,19,249,Yes
510,25,Female,Basic,30,2,Thriller,10,226,No
511,20,Male,Premium,30,5,Romance,4,655,Yes
512,51,Male,VIP,28,5,Sci-Fi,29,960,Yes
513,62,Male,VIP,9,1,Sci-Fi,21,864,No
514,44,Male,Premium,26,3,Drama,14,468,Yes
515,44,Female,VIP,36,3,Thriller,23,983,Yes
516,30,Male,VIP,19,3,Thriller,4,791,No
